Nom fichier,Nb clients,Fitness de base,Nb vehicules min,Metaheuristique,Fitness resultat,Vehicules resultat,Nombre iterations,Temps d'execution,Amélioration fitness,Variation (µ),Température
A3205.txt,32,2689.54,5,Recuit simule,879.02,5,10000,854,1810.52,0.7,250
A3305.txt,33,2334.5,5,Recuit simule,850.48,5,10000,906,1484.02,0.7,250
A3306.txt,33,1942.44,6,Recuit simule,804.96,6,10000,894,1137.48,0.7,250
A3405.txt,34,2656.14,5,Recuit simule,842.29,5,10000,869,1813.85,0.7,250
A3605.txt,36,2686.2,5,Recuit simule,922.54,5,10000,897,1763.66,0.7,250
A3705.txt,37,2522.6,5,Recuit simule,753.0,5,10000,914,1769.6,0.7,250
A3706.txt,37,3009.79,6,Recuit simule,1083.13,6,10000,941,1926.66,0.7,250
A3805.txt,38,3214.9,5,Recuit simule,1052.97,5,10000,918,2161.93,0.7,250
A3905.txt,39,3018.34,5,Recuit simule,998.21,5,10000,934,2020.12,0.7,250
A3906.txt,39,3948.28,6,Recuit simule,1101.58,6,10000,985,2846.71,0.7,250
A4406.txt,44,2762.42,6,Recuit simule,866.62,6,10000,1194,1895.8,0.7,250
A4506.txt,45,3060.16,6,Recuit simule,1053.15,6,10000,1130,2007.02,0.7,250
A4507.txt,45,3367.17,7,Recuit simule,1090.94,7,10000,1070,2276.23,0.7,250
A4607.txt,46,3663.29,7,Recuit simule,1323.47,7,10000,1049,2339.81,0.7,250
A5307.txt,53,3711.96,7,Recuit simule,1023.35,7,10000,1221,2688.61,0.7,250
A5407.txt,54,4345.34,7,Recuit simule,1278.23,7,10000,1221,3067.12,0.7,250
A5509.txt,55,3374.72,9,Recuit simule,1120.97,9,10000,1272,2253.74,0.7,250
A6009.txt,60,5096.77,9,Recuit simule,1480.21,9,10000,1319,3616.56,0.7,250
A6109.txt,61,3526.92,9,Recuit simule,1226.99,9,10000,1403,2299.93,0.7,250
A6208.txt,62,4393.88,8,Recuit simule,1144.0,8,10000,1380,3249.89,0.7,250
A6310.txt,63,4144.11,10,Recuit simule,1255.6,10,10000,1415,2888.51,0.7,250
A6409.txt,64,4127.63,9,Recuit simule,1275.37,9,10000,1431,2852.26,0.7,250
A6509.txt,65,5134.27,9,Recuit simule,1846.42,9,10000,1436,3287.85,0.7,250
A6909.txt,69,6751.83,9,Recuit simule,2063.23,9,10000,1465,4688.6,0.7,250
A8010.txt,80,6518.04,10,Recuit simule,1880.37,10,10000,1649,4637.67,0.7,250
c101.txt,101,6520.49,10,Recuit simule,1293.73,10,10000,2118,5226.76,0.7,250
c201.txt,101,5343.4,10,Recuit simule,1175.71,10,10000,2786,4167.68,0.7,250
r101.txt,101,3943.48,8,Recuit simule,891.53,8,10000,2338,3051.95,0.7,250
