Nom fichier;Nb clients;Fitness de base;Nb vehicules min;Metaheuristique;Fitness resultat;Vehicules resultat;Nombre iterations;Temps d'execution;Amelioration fitness;Taille liste tabou
A3205,txt;32;2626,12;5;Tabou;854,54;6;10000;11193;1771,58;1
A3305,txt;33;2723,81;5;Tabou;851,34;6;10000;10334;1872,47;1
A3306,txt;33;3203,21;6;Tabou;1151,48;7;10000;9563;2051,73;1
A3405,txt;34;3571,03;5;Tabou;975,25;5;10000;10180;2595,79;1
A3605,txt;36;2764,49;5;Tabou;798,71;5;10000;10941;1965,78;1
A3705,txt;37;3204,71;5;Tabou;868,26;5;10000;15888;2336,45;1
A3706,txt;37;2455,82;6;Tabou;961,55;7;10000;11897;1494,27;1
A3805,txt;38;3360,88;5;Tabou;976,69;7;10000;17461;2384,19;1
A3905,txt;39;4342,17;5;Tabou;1059,38;5;10000;13404;3282,79;1
A3906,txt;39;3271,16;6;Tabou;1068,53;7;10000;11635;2202,63;1
A4406,txt;44;3349,33;6;Tabou;1072,79;7;10000;17608;2276,53;1
A4506,txt;45;3790,58;6;Tabou;1185,16;7;10000;20221;2605,42;1
A4507,txt;45;2885,12;7;Tabou;1170,28;9;10000;20341;1714,84;1
A4607,txt;46;3966,02;7;Tabou;1275,89;8;10000;22511;2690,13;1
A5307,txt;53;4302,83;7;Tabou;1332,15;9;10000;40152;2970,68;1
A5407,txt;54;4908,63;7;Tabou;1498,61;9;10000;42615;3410,02;1
A5509,txt;55;4317,41;9;Tabou;1384,07;11;10000;43510;2933,34;1
A6009,txt;60;5064,82;9;Tabou;1767,11;9;10000;34686;3297,71;1
A6109,txt;61;3990,2;9;Tabou;1420,04;10;10000;45780;2570,16;1
A6208,txt;62;4138,26;8;Tabou;1326,0;9;10000;45362;2812,26;1
A6310,txt;63;4761,53;10;Tabou;1573,87;11;10000;48044;3187,66;1
A6409,txt;64;3749,68;9;Tabou;1241,66;10;10000;49722;2508,02;1
A6509,txt;65;5758,68;9;Tabou;1742,72;10;10000;52121;4015,96;1
A6909,txt;69;4643,58;9;Tabou;1498,02;12;10000;83390;3145,55;1
A8010,txt;80;6476,17;10;Tabou;1802,22;12;10000;107333;4673,95;1
c101,txt;101;6329,29;10;Tabou;1503,2;10;10000;105585;4826,09;1
c201,txt;101;6550,95;10;Tabou;1433,83;10;10000;145153;5117,12;1
r101,txt;101;5708,57;8;Tabou;1171,86;9;10000;176540;4536,71;1
